Start Main 

Epoch:0| Running_reward:-50.000| EP_reward:-50.000| Memory_length:320| Duration:115.063| Actor_Loss:0.748| Critic_Loss:0.010| Success rate:0.000| 10.2/12.0 GB RAM 

Epoch:1| Running_reward:-50.000| EP_reward:-50.000| Memory_length:640| Duration:112.009| Actor_Loss:0.880| Critic_Loss:0.012| Success rate:0.000| 10.1/12.0 GB RAM 

Epoch:2| Running_reward:-50.000| EP_reward:-50.000| Memory_length:960| Duration:109.404| Actor_Loss:1.178| Critic_Loss:0.006| Success rate:0.000| 10.2/12.0 GB RAM 

Epoch:3| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1280| Duration:108.020| Actor_Loss:1.290| Critic_Loss:0.008| Success rate:0.000| 10.2/12.0 GB RAM 

Epoch:4| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1600| Duration:109.003| Actor_Loss:1.494| Critic_Loss:0.013| Success rate:0.000| 10.2/12.0 GB RAM 

Epoch:5| Running_reward:-50.000| EP_reward:-50.000| Memory_length:1920| Duration:110.850| Actor_Loss:1.978| Critic_Loss:0.008| Success rate:0.000| 10.2/12.0 GB RAM 

Epoch:6| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2240| Duration:111.681| Actor_Loss:2.170| Critic_Loss:0.030| Success rate:0.000| 10.2/12.0 GB RAM 

Epoch:7| Running_reward:-49.569| EP_reward:-50.000| Memory_length:2560| Duration:112.030| Actor_Loss:2.093| Critic_Loss:0.020| Success rate:0.050| 10.1/12.0 GB RAM 

Epoch:8| Running_reward:-50.000| EP_reward:-50.000| Memory_length:2880| Duration:113.329| Actor_Loss:1.962| Critic_Loss:0.031| Success rate:0.050| 10.0/12.0 GB RAM 

Epoch:9| Running_reward:-49.587| EP_reward:-50.000| Memory_length:3200| Duration:113.620| Actor_Loss:2.019| Critic_Loss:0.090| Success rate:0.075| 10.1/12.0 GB RAM 

Epoch:10| Running_reward:-50.000| EP_reward:-50.000| Memory_length:3520| Duration:115.794| Actor_Loss:2.633| Critic_Loss:0.061| Success rate:0.150| 10.1/12.0 GB RAM 

Epoch:11| Running_reward:-49.488| EP_reward:-50.000| Memory_length:3840| Duration:120.534| Actor_Loss:2.512| Critic_Loss:0.086| Success rate:0.150| 10.2/12.0 GB RAM 

Epoch:12| Running_reward:-50.000| EP_reward:-50.000| Memory_length:4160| Duration:120.663| Actor_Loss:2.621| Critic_Loss:0.069| Success rate:0.075| 10.2/12.0 GB RAM 

Epoch:13| Running_reward:-49.290| EP_reward:-50.000| Memory_length:4480| Duration:118.544| Actor_Loss:2.827| Critic_Loss:0.030| Success rate:0.250| 10.2/12.0 GB RAM 

Epoch:14| Running_reward:-49.137| EP_reward:-11.000| Memory_length:4800| Duration:120.097| Actor_Loss:2.602| Critic_Loss:0.122| Success rate:0.175| 10.2/12.0 GB RAM 

Epoch:15| Running_reward:-49.077| EP_reward:-50.000| Memory_length:5120| Duration:119.019| Actor_Loss:2.964| Critic_Loss:0.136| Success rate:0.500| 10.2/12.0 GB RAM 

Epoch:16| Running_reward:-10.244| EP_reward:-50.000| Memory_length:5440| Duration:119.561| Actor_Loss:2.613| Critic_Loss:0.116| Success rate:0.325| 10.2/12.0 GB RAM 

Epoch:17| Running_reward:-23.186| EP_reward:-7.000| Memory_length:5760| Duration:120.132| Actor_Loss:3.022| Critic_Loss:0.076| Success rate:0.425| 10.3/12.0 GB RAM 

Epoch:18| Running_reward:-9.953| EP_reward:-50.000| Memory_length:6080| Duration:118.932| Actor_Loss:3.122| Critic_Loss:0.184| Success rate:0.550| 10.3/12.0 GB RAM 

