Epochs,Reward,Success Rate
0.0,-50.0,0.0
1.0,-50.0,0.0
2.0,-50.0,0.0
3.0,-50.0,0.0
4.0,-50.0,0.0
5.0,-49.56336545,0.025
6.0,-50.0,0.0
7.0,-49.575537440563146,0.025
8.0,-50.0,0.025
9.0,-49.58,0.025
10.0,-49.59,0.1
11.0,-49.30514155816772,0.05
12.0,-49.61960398004,0.125
13.0,-48.876129850651715,0.25
14.0,-12.745215489759012,0.35000000000000003
15.0,-46.12276054523101,0.525
16.0,-48.4602501522221,0.35
17.0,-16.69671187393972,0.47500000000000003
18.0,-9.158722397850665,0.5
19.0,-47.97222700257282,0.525
20.0,-45.94732985709384,0.65
21.0,-10.608881565981015,0.6499999999999999
22.0,-47.67000707060696,0.75
23.0,-9.837786693893992,0.825
24.0,-19.257856674416523,0.95
25.0,-9.42499444549419,1.0
26.0,-8.18257670723109,1.0
27.0,-12.90897817195745,1.0
28.0,-20.03200884110952,0.975
29.0,-9.109410097115038,1.0
30.0,-14.926162374092522,0.95
31.0,-7.283767075313484,1.0
32.0,-10.959286906295016,1.0
33.0,-9.86249530327862,0.975
34.0,-13.576615083197614,1.0
35.0,-9.91465858982496,1.0
36.0,-11.886094908162365,0.95
37.0,-8.265116170636864,0.975
38.0,-7.239855738235755,1.0
39.0,-8.2021161633821,1.0
40.0,-9.93410439697968,1.0
41.0,-7.999337337240358,1.0
42.0,-9.912777719286758,1.0
43.0,-9.88081267328403,1.0
44.0,-6.106743737950611,1.0
45.0,-8.05877510265221,1.0
46.0,-8.196575530816935,0.95
47.0,-8.067548532201908,0.975
48.0,-10.010875210377188,1.0
49.0,-7.95970015653975,0.975
50.0,-9.847591462764782,1.0
51.0,-6.3862753722067565,1.0
52.0,-6.347068704985287,1.0
53.0,-5.269598543721244,1.0
54.0,-7.135497681629298,1.0
55.0,-9.017308650258185,1.0
56.0,-8.102548225885915,1.0
57.0,-9.058826447338317,1.0
58.0,-8.87556428380099,1.0
59.0,-5.385151575329567,1.0
60.0,-9.093501341798357,1.0
61.0,-7.4070041592763545,1.0
62.0,-15.474507390891924,0.975
63.0,-4.401947953390283,0.975
64.0,-9.001433351771967,0.975
65.0,-6.264203496081568,1.0
66.0,-8.983105494802572,1.0
67.0,-9.018777154101038,1.0
68.0,-9.924677184303953,0.975
69.0,-8.072771559920001,1.0
70.0,-8.9702085797808,1.0
71.0,-10.83967610226141,1.0
72.0,-46.46186922635861,0.95
73.0,-6.633639764166016,0.975
74.0,-8.156259327036397,1.0
75.0,-9.446610982930808,0.975
76.0,-5.296726108280376,1.0
77.0,-9.990146443890094,1.0
78.0,-7.212669300363214,1.0
79.0,-9.179085866296738,1.0
80.0,-6.224409552819348,1.0
81.0,-13.63213589244098,1.0
82.0,-7.485527702164992,1.0
83.0,-8.087435750408897,0.975
84.0,-7.24898083867772,1.0
85.0,-5.297285869156948,1.0
86.0,-5.456689401019816,1.0
87.0,-8.934375117160293,1.0
88.0,-9.929829561720732,1.0
89.0,-9.914274225281142,0.975
90.0,-6.159406659567973,1.0
91.0,-10.0381968936443,1.0
92.0,-10.778399195056792,1.0
93.0,-9.092200117522735,0.95
94.0,-6.123722609758099,1.0
95.0,-12.704409675638553,1.0
96.0,-9.797845903899542,1.0
97.0,-8.892866199109898,1.0
98.0,-18.922007380406058,1.0
99.0,-7.183620357370617,0.95
